"臓器","分類","項目名","UID","H28対応項目","H28表記","修正提案(20220302)","査読コメント(20220302)","削除項目","追加項目","メモ","査読への返答","A","B","C","D","E","F","G","H","I"
"精神系","検査方法","改訂長谷川式簡易知能評価スケール","JlAKpzo","","","","","","","","","","","","","","","","",""
"精神系","検査方法","精神科診断分類法","JlAKpzs","D-15-01-na-02","精神科診断分類法を説明できる。","","","","","","","","","","","","","","",""
"精神系","特異的治療法","精神科面接","JlAKpzw","D-15-01-na-01","患者-医師の良好な信頼関係に基づく精神科面接の基本を説明できる。","","","","","技能チームと検討","","","","","","","","","",""
"精神系","特異的治療法","精神保健及び精神障害者福祉に関する法律、心神喪失者等医療観察法の適用場面","JlAKpz0","D-15-01-na-03","精神科医療の法と倫理に関する必須項目（精神保健及び精神障害者福祉に関する法律、心神喪失者等医療観察法、インフォームド・コンセント）を説明できる。","","","","","","","","","","","","","","",""
"精神系","特異的治療法","コンサルテーション・リエゾン精神医学","JlAKpz4","D-15-01-na-04","コンサルテーション・リエゾン精神医学を説明できる。","","","","","","","","","","","","","","",""
"精神系","疾患・病態","認知症　※神経系の項目を参照","JlAKpz8","D-15-03-na-02","認知症の診断と治療を説明できる。","","","D-15-03-na-02","","神経系へ","","","","","","","","","",""
"精神系","疾患・病態","症状性精神病","JlAKp0A","D-15-03-na-01","症状精神病の概念と診断を概説できる。","","","D-15-03-na-11,D-15-03-na-12","","","","","","","","","","","",""
"精神系","疾患・病態","依存症（薬物使用、アルコール、ギャンブル）","JlAKp0E","D-15-03-na-03","薬物使用に関連する精神障害やアルコール、ギャンブル等への依存症の病態と症候を説明できる。","","","","","","","","","","","","","","",""
"精神系","疾患・病態","うつ病、双極性障害（躁うつ病）","JlAKp0I","D-15-03-na-05, D-15-03-na-06","うつ病の症候と診断を説明できる。,双極性障害（躁うつ病）の症候と診断を説明できる。","","","","","","","","","","","","","","",""
"精神系","疾患・病態","統合失調症","JlAKp0M","D-15-03-na-04","統合失調症の症候と診断、救急治療を説明できる。","","","","","","","","","","","","","","",""
"精神系","疾患・病態","強迫性障害","JlAKp0Q","","","","","","強迫性障害","","","","","","","","","","",""
"精神系","疾患・病態","不安障害（パニック障害・社交不安障害）","JlAKp0U","D-15-03-na-07","不安障害群と心的外傷及びストレス因関連障害群の症候と診断を説明できる。","","","","","","","","","","","","","","",""
"精神系","疾患・病態","解離性障害","JlAKp0Y","D-15-03-na-09","解離性障害群の症候、診断と治療を説明できる。","","","","","","","","","","","","","","",""
"精神系","疾患・病態","身体表現性障害（身体化障害・疼痛性障害・心気症）、心身症、ストレス関連障害（急性ストレス障害・心的外傷後ストレス障害）、過換気症候群","JlAKp0c","D-15-03-na-07, D-15-03-na-08","不安障害群と心的外傷及びストレス因関連障害群の症候と診断を説明できる。,身体症状症及び関連症群、食行動障害及び摂食障害群の症候と診断を説明できる。","","","","身体化障害","","","","","","","","","","","身体症状症に変更"
"精神系","疾患・病態","摂食障害（神経性食思不振症・神経性過食症）","JlAKp0g","D-15-03-na-08","身体症状症及び関連症群、食行動障害及び摂食障害群の症候と診断を説明できる。","","","","神経性食思不振症、神経性過食症","","","","","","","","","","","神経性やせ症"
"精神系","疾患・病態","パーソナリティ障害","JlAKp0k","D-15-03-na-10","パーソナリティ障害群を概説できる。","","","","","","","","","","","","","","",""
"救急系（中毒・環境因子による疾患を含む）","症候","地域の救急医療体制について病院前救護体制、メディカルコントロール、初期・二次・三次救急医療の概念を用いて説明できる","JlAKp0o","G-04-01-07-05","救急隊員との連携を通じて、病院前救護体制とメディカルコントロールについて学ぶ。","間違いでしょうか","間違いなので削除で問題ないです","","","新設","分類ですが、「症候」でしょうか？（江頭）","","","","","","","","",""
"救急系（中毒・環境因子による疾患を含む）","症候","意識障害","JlAKp0s","E-05-02-na-03","意識障害・失神","","","","","E-05-02-na-02,E-05-02-na-04,E-05-02-na-05,E-05-02-na-06,E-05-02-na-07,E-05-02-na-12,E-05-02-na-14は削除(校正者)","","","","","","","","","",""
"救急系（中毒・環境因子による疾患を含む）","症候","失神","JlAKp0w","E-05-02-na-03","意識障害・失神","","","","","","","","","","","","","","",""
"救急系（中毒・環境因子による疾患を含む）","症候","けいれん","JlAKp00","E-02-03-na-03","けいれん","","","","","新設","","","","","","","","","",""
"救急系（中毒・環境因子による疾患を含む）","症候","呼吸困難","JlAKp04","E-05-02-na-08","呼吸困難・息切れ","","","","","","","","","","","","","","",""
"救急系（中毒・環境因子による疾患を含む）","症候","胸痛","JlAKp08","E-02-03-na-12","胸痛・胸部圧迫感","","","","","新設","","","","","","","","","",""
"救急系（中毒・環境因子による疾患を含む）","症候","運動麻痺・筋力低下","JlAKp1A","E-05-02-na-09","運動麻痺・筋力低下","","","","","","","","","","","","","","",""
"救急系（中毒・環境因子による疾患を含む）","症候","腹痛","JlAKp1E","E-05-02-na-10","腹痛","","","","","","","","","","","","","","",""
"救急系（中毒・環境因子による疾患を含む）","症候","悪心・嘔吐","JlAKp1I","E-05-02-na-11","悪心・嘔吐","","","","","","","","","","","","","","",""
"救急系（中毒・環境因子による疾患を含む）","症候","吐血","JlAKp1M","E-05-02-na-13","吐血・下血","","","","","","","","","","","","","","",""
"免疫・アレルギー","症候","ショック","JlAKp1Q","E-04-02-na-01","ショック","","","","","症候をまとめるかセルに入れるか統一した方が良いと思います。（KY）","","","","","","","","","",""
"免疫・アレルギー","症候","発熱","JlAKp1U","E-04-02-na-02","発熱","","","","","","","","","","","","","","",""
"免疫・アレルギー","症候","全身倦怠感","JlAKp1Y","E-04-02-na-03","全身倦怠感","","","","","","","","","","","","","","",""
"免疫・アレルギー","症候","皮疹","JlAKp1c","E-04-02-na-04","発疹","","","","","（そもそもチームにも提案したいのですが）発疹は一過性の皮疹の総称ですから、皮疹とされてはいかがでしょうか。(校正者)","","","","","","","","","",""
"免疫・アレルギー","症候","リンパ節腫脹","JlAKp1g","E-04-02-na-06","リンパ節腫脹","","","","","","","","","","","","","","",""
"免疫・アレルギー","症候","浮腫","JlAKp1k","E-04-02-na-07","浮腫","","","","","","","","","","","","","","",""
"免疫・アレルギー","症候","呼吸困難","JlAKp1o","E-04-02-na-08","呼吸困難・息切れ","","","","","息切れ削除","","","","","","","","","",""
"免疫・アレルギー","症候","咳・痰","JlAKp1s","E-04-02-na-09","咳・痰","","","","","","","","","","","","","","",""
"免疫・アレルギー","症候","血尿","JlAKp1w","E-04-02-na-10","血尿・タンパク尿","","","","","（そもそもチームの作業で「血尿」のみとなりました。","","","","","","","","","",""
"免疫・アレルギー","症候","関節痛・関節腫脹","JlAKp10","E-04-02-na-11","関節痛・関節腫脹","","","","","","","","","","","","","","",""
"免疫・アレルギー","疾患・病態","他のリウマチ性疾患：強直性脊椎炎、反応性関節炎、乾癬性関節炎、掌蹠膿疱症性関節炎、結晶誘発性関節炎、変形性関節症、リウマチ性多発筋痛症、線維筋痛症、IgG4関連疾患、再発性多発軟骨炎、リウマチ熱","Jli6MhQ","","","別表作成例","","","","","","","","","","","","","",""
"免疫・アレルギー","疾患・病態","血管炎症候群：巨細胞性動脈炎、高安動脈炎、結節性多発動脈炎、顕微鏡的多発血管炎、多発血管炎性肉芽腫症、好酸球性多発血管炎性肉芽腫症、IgA血管炎、川崎病、悪性関節リウマチ、抗GBM病","Jli6MhY","E-04-03-05-01","全身性血管炎を分類/列挙し、その病態生理、症候、診断と治療を説明できる。","別表作成例","","","","","","","","","","","","","",""
"感染症","疾患・病態","市中感染症：髄膜脳炎、咽頭炎、中耳炎、血流感染・感染性心内膜炎、肺炎、腹腔内感染、膀胱炎・腎盂腎炎、皮膚軟部組織感染、関節炎","Jli6Mhg","E-02-01-na-02","市中感染症と院内（病院）感染症を説明できる。","別表作成例","","","","","","","","","","","","","",""
"感染症","疾患・病態","医療関連感染：血管内留置カテーテル関連感染、尿路カテーテル感染、医療関連肺炎・人工呼吸器関連肺炎、手術部位感染、クロストリディオイデス・ディフィシル感染","Jli6Mho","E-02-01-na-02,E-02-01-na-03","市中感染症と院内（病院）感染症を説明できる。,医療器具関連感染症（血管留置カテーテル、尿道カテーテル、人工呼吸器）、術後感染症、手術部位感染症、を説明できる。","別表作成例","","","","","","","","","","","","","",""
"感染症","疾患・病態","免疫不全：糖尿病、腎臓病、肝臓病、がん・血液疾患、好中球減少、免疫抑制薬使用中、HIV・AIDS、臓器移植","Jli6Mhs","E-02-01-na-06","コンプロマイズドホストと日和見感染症を説明できる。","別表作成例","","","","","","","","","","","","","",""
"感染症","疾患・病態","ワクチン予防可能な疾患：麻疹、風疹、ムンプス、水痘、B型肝炎、インフルエンザ菌、肺炎球菌、破傷風ジフテリア、インフルエンザ、新型コロナウイルス","Jli6Mh0","E-02-02-na-07","予防接種について、適応と意義、種類とそれぞれの投与方法を説明できる。","別表作成例","","","","","","","","","","","","","",""
"感染症","症候","ショック","JlAKp14","E-02-03-na-01","ショック","","","","","症候をまとめるかセルに入れるか統一した方が良いと思います。（KY）","","","","","","","","","",""
"感染症","症候","発熱・高体温","JlAKp18","E-02-03-na-02","発熱","発熱","","","","編集あり","","","","","","","","","",""
"感染症","症候","けいれん","JlAKp2A","E-02-03-na-03","けいれん","","","","","","","","","","","","","","",""
"感染症","症候","意識障害・失神","JlAKp2E","E-02-03-na-04","意識障害・失神","意識障害","症候にあわせる","","","","","","","","","","","","",""
"","","","","","","失神","症候にあわせる","","","","","","","","","","","","",""
"感染症","症候","脱水","JlAKp2I","E-02-03-na-05","脱水","","","","","","","","","","","","","","",""
"感染症","症候","全身倦怠感","JlAKp2M","E-02-03-na-06","全身倦怠感","","","","","","","","","","","","","","",""
"感染症","症候","黄疸","JlAKp2Q","E-02-03-na-07","黄疸","","","","","","","","","","","","","","",""
"感染症","症候","発疹","JlAKp2U","E-02-03-na-08","発疹","","","","","","","","","","","","","","",""
"感染症","症候","リンパ節腫脹","JlAKp2Y","E-02-03-na-09","リンパ節腫脹","","","","","","","","","","","","","","",""
"感染症","症候","浮腫","JlAKp2c","E-02-03-na-10","浮腫","","","","","","","","","","","","","","",""
"感染症","症候","胸水","JlAKp2g","E-02-03-na-11","胸水","","","","","","","","","","","","","","",""
"感染症","症候","胸痛・胸部圧迫感","JlAKp2k","E-02-03-na-12","胸痛・胸部圧迫感","胸痛","他とあわせて「胸痛」のみにしますか？","","","","","","","","","","","","",""
"感染症","症候","呼吸困難・息切れ","JlAKp2o","E-02-03-na-13","呼吸困難・息切れ","呼吸困難","他とあわせて「呼吸困難」のみにしますか？","","","","","","","","","","","","",""
"感染症","症候","咳・痰","JlAKp2s","E-02-03-na-14","咳・痰","","","","","","","","","","","","","","",""
"感染症","症候","血痰・喀血","JlAKp2w","E-02-03-na-15","血痰・喀血","","","","","","","","","","","","","","",""
"感染症","症候","頭痛・頭重感","JlAKp20","E-02-03-na-16","頭痛・頭重感","頭痛","他とあわせて「頭痛」のみにしますか？","","","","","","","","","","","","",""
"感染症","症候","腹痛","JlAKp24","E-02-03-na-17","腹痛","","","","","","","","","","","","","","",""
"感染症","症候","悪心・嘔吐","JlAKp28","E-02-03-na-18","悪心、嘔吐","","","","","編集あり","","","","","","","","","",""
"感染症","症候","便秘・下痢・血便","JlAKp3A","E-02-03-na-19","便秘・下痢・血便","便秘・下痢","他とあわせて便秘・下痢のみにし、血便は下血で扱うことにしますか？","","","","","","","","","","","","",""
"感染症","症候","吐血・下血","JlAKp3E","E-02-03-na-20","吐血・下血","","","","","","","","","","","","","","",""
"感染症","症候","血尿・タンパク尿","JlAKp3I","E-02-03-na-21","血尿・タンパク尿","血尿","技能とあわせて、血尿とタンパク尿はわけることを提案","","","","","","","","","","","","",""
"","","","","","","タンパク尿","同上","","","","","","","","","","","","",""
"感染症","症候","関節痛・関節腫脹","JlAKp3M","E-02-03-na-22","㉒関節痛、関節腫脹","","","","","編集あり","","","","","","","","","",""
"感染症","症候","腰背部痛","JlAKp3Q","E-02-03-na-23","㉓腰背部痛","","","","","","","","","","","","","","",""
"感染症","症候","咽頭痛","JlAKp3U","","","","","","","新設","","","","","","","","","",""
"腫瘍","症候","発熱","Jli6O0o","","","別表作成例","","","","","","","","","","","","","",""
"腫瘍","症候","食欲低下","Jli6O00","","","別表作成例","","","","","","","","","","","","","",""
"腫瘍","症候","体重減少","Jli6O04","","","別表作成例","","","","","","","","","","","","","",""
"腫瘍","症候","貧血","Jli6O1A","","","別表作成例","","","","","","","","","","","","","",""
"腫瘍","症候","リンパ節腫脹","Jli6O1E","","","別表作成例","","","","","","","","","","","","","",""
"腫瘍","疾患・病態","血液・造血器・リンパ系：急性白血病、慢性骨髄性白血病、骨髄異形成症候群、成人T細胞白血病、真性赤血球増加症、本態性血小板血症、骨髄線維症、悪性リンパ腫、多発性骨髄腫","Jli6O1M","E-03-05-na-01","血液・造血器・リンパ系：急性白血病、慢性骨髄性白血病、骨髄異形成症候群<MDS>、成人T細胞白血病、真正赤血球増加症、本態性血小板血症、骨髄線維症、悪性リンパ腫、多発性骨髄腫","別表作成例","","","","","","","","","","","","","",""
"腫瘍","疾患・病態","神経系：膠芽腫、髄膜腫、神経鞘腫、転移性脳腫瘍","Jli6O1Q","E-03-05-na-02","神経系：脳・脊髄腫瘍、転移性脳腫瘍","別表作成例","","","","","","","","","","","","","",""
"腫瘍","疾患・病態","皮膚系：基底細胞癌、有棘細胞癌、悪性黒色腫、リンパ腫","Jli6O1Y","E-03-05-na-03","皮膚系：皮膚良性腫瘍、皮膚悪性リンパ腫、血管肉腫、基底細胞上皮腫(癌)、扁平上皮癌、悪性黒色腫","別表作成例","","","","","","","","","","","","","",""
"腫瘍","疾患・病態","運動器（筋骨格）系：骨軟部腫瘍（骨肉腫、軟骨肉腫、ユーイング肉腫）、転移性脊椎腫瘍","Jli6O1g","E-03-05-na-04","運動器（筋骨格系）：転移性脊椎腫瘍、骨肉腫","別表作成例","","","","","","","","","","","","","",""
"腫瘍","疾患・病態","循環器系：粘液腫","Jli6O1k","E-03-05-na-05","循環器系：粘液腫","別表作成例","本文（第２から４層）258では粘液腫は削除ですが、別表182では粘液腫が扱われる方針になっています。結局、削除でよいでしょうか？","","","","第一列　腫瘍では削除でよいと判断しております。循環器側のご判断次第と思います。","","","","","","","","",""
"腫瘍","疾患・病態","呼吸器系：肺癌、胸膜中皮腫、転移性肺腫瘍、縦隔腫瘍","Jli6O1s","E-03-05-na-06","呼吸器系：肺癌、転移性肺腫瘍、縦隔腫瘍、胸膜中皮腫","別表作成例","","","","","別表にするなら原発性肺がんは細分化記載の方が良いかもしれません。縦隔腫瘍も列挙すべきかもしれません。","","","","","","","","",""
"腫瘍","疾患・病態","消化器系：食道癌、胃癌、大腸ポリープ、大腸癌、胆嚢・胆管癌、原発性肝癌、膵神経内分泌腫瘍、嚢胞性膵腫瘍、膵癌","Jli6O1w","E-03-05-na-07","消化器系：食道癌、胃癌、大腸ポリープ、大腸癌、胆嚢・胆管癌、原発性肝癌、膵内分泌腫瘍、嚢胞性膵腫瘍、膵癌","別表作成例","","","","","","","","","","","","","",""
"腫瘍","疾患・病態","腎・尿路系：腎癌、腎盂尿管癌・膀胱癌","Jli6O14","E-03-05-na-08","腎・尿路系：腎癌、膀胱癌を含む尿路上皮癌","別表作成例","","","","","","","","","","","","","",""
"腫瘍","疾患・病態","生殖機能：前立腺癌、精巣腫瘍、子宮頸癌、子宮体癌（子宮内膜癌）、卵巣腫瘍、絨毛性疾患（胞状奇胎、絨毛癌）","Jli6O18","E-03-05-na-09","生殖機能：前立腺癌、精巣腫瘍、子宮頸癌、子宮体癌（子宮内膜癌）、卵巣腫瘍（卵巣癌、卵巣嚢腫）、絨毛性疾患（胞状奇胎、絨毛癌）","別表作成例","","","","","","","","","","","","","",""
"腫瘍","疾患・病態","乳房：原発性乳癌、線維腺腫、乳腺症","Jli6O2E","E-03-05-na-10","乳房：原発性乳癌","別表作成例","","","","","","","","","","","","","",""
"腫瘍","疾患・病態","内分泌・栄養・代謝系：下垂体腫瘍、甲状腺腫瘍（腺腫様甲状腺腫、甲状腺癌）、褐色細胞腫、多発性内分泌腫瘍症","Jli6O2I","E-03-05-na-11","内分泌・栄養・代謝系：甲状腺腫瘍（腺腫様甲状腺腫、甲状腺癌）、褐色細胞腫","別表作成例","","","","","","","","","","","","","",""
"腫瘍","疾患・病態","眼・視覚系：網膜芽細胞腫","Jli6O2Q","E-03-05-na-13","耳鼻・咽喉・口腔系：舌癌、咽頭癌、喉頭癌","別表作成例","H28年度版から転記（E-03-05-12）：別表415に記載されていますが、本文からは眼・視覚系腫瘍は削除されています。削除の方針でしょうか？","","","","独立した項目としては削除で、小児腫瘍にまとめることが出来ると考えます。","","","","","","","","",""
"腫瘍","疾患・病態","耳鼻・咽喉・口腔系（頭頸部）：舌癌、咽頭癌、喉頭癌","Jli6O2U","E-03-05-na-14,E-03-05-na-12","小児腫瘍：神経芽腫,眼・視覚系：網膜芽細胞腫","別表作成例","","","","","","","","","","","","","",""
"腫瘍","疾患・病態","小児：脳腫瘍、血液腫瘍、網膜芽細胞腫、神経芽腫、腎芽腫、肝芽腫、奇形腫を含む胚細胞腫瘍","Jli6O2c","E-03-05-na-05","循環器系：粘液腫","別表作成例","H28年度版から転記（E-03-05-14）：内分泌383に「神経芽腫を概説し、小児腹部固形腫瘍（腎芽腫、胚芽腫、奇形腫）との鑑別点を説明できる。」が残っていますが、小児腫瘍としてどこまで列挙すべきでしょうか？","","","","別表が用意されたのであれば残すべきと考えます、改変して加えました、網膜芽細胞種もこちらへ。小児腫瘍の別表としてであれば最も頻度の高い脳腫瘍、血液腫瘍を挙げるべきですが、臓器別と重複すると思われます。","","","","","","","","",""
"腫瘍","疾患・病態","遺伝性腫瘍：家族性大腸腺腫症、遺伝性乳がん卵巣がん症候群、遺伝性非ポリポーシス性大腸癌（リンチ症候群）、Li-Fraumeni症候群","Jli6O2k","","","","","","","","別表案として追加しました。別表という形であれば追加すべき他の疾患があるため、記載しました。","","","","","","","","",""
"主要症候","症候","発熱","JlAK6lk","F-01-01-na-01,F-01-01-na-02,F-01-01-na-03,G-02-01-na-01,G-02-01-na-02,G-02-01-na-03,G-02-01-na-04,G-02-01-na-05,G-02-01-na-06,G-02-01-na-07,G-02-01-na-08","発熱の原因と病態生理を説明できる。,発熱をきたす疾患(群)を列挙し、診断の要点を説明できる。,発熱がある患者の治療の要点を説明し、専門的治療が必要な状態を概説できる。,感染症：肺炎,感染症：結核,感染症：尿路感染症,腫瘍：悪性リンパ腫,腫瘍：腎細胞癌,自己免疫：全身性エリテマトーデス<SLE>,自己免疫：炎症性腸疾患,環境：熱中症","","","","","技能チームで扱っているが参照用に提示","","","","","","","","","",""
"主要症候","症候","全身倦怠感","JlAK6lo","F-01-02-na-01,F-01-02-na-02,F-01-02-na-03,G-02-02-na-01,G-02-02-na-02,G-02-02-na-03,G-02-02-na-04,G-02-02-na-05,G-02-02-na-06,G-02-02-na-07,G-02-02-na-08,G-02-02-na-09,G-02-02-na-10","全身倦怠感の原因と病態生理を説明できる。,全身倦怠感をきたす疾患(群)を列挙し、診断の要点を説明できる。,全身倦怠感がある患者の治療の要点を説明し、専門的治療が必要な状態を概説できる。,感染症・炎症性：結核,感染症・炎症性：肝炎,精神：うつ病,精神：双極性障害,中毒性：アルコール依存症,中毒性：薬物依存症,内分泌・代謝：甲状腺機能亢進症,内分泌・代謝：甲状腺機能低下症,内分泌・代謝：更年期障害,腫瘍：悪性腫瘍全般","","","","","技能チームで扱っているが参照用に提示","","","","","","","","","",""
"主要症候","症候","食思(欲)不振","JlAK6ls","F-01-03-na-01,F-01-03-na-02,F-01-03-na-03,G-02-03-na-01,G-02-03-na-02,G-02-03-na-03,G-02-03-na-04,G-02-03-na-05","食思(欲)不振の原因と病態生理を説明できる。,食思(欲)不振をきたす疾患(群)を列挙し、診断の要点を説明できる。,食思(欲)不振がある患者の治療の要点を説明し、専門的治療が必要な状態を概説できる。,腫瘍：悪性腫瘍全般,消化器：機能性ディスペプシア<FD>,呼吸器：慢性閉塞性肺疾患<COPD>,循環器：心不全,精神：うつ病","","","","","技能チームで扱っているが参照用に提示","","","","","","","","","",""
"主要症候","症候","体重減少","JlAK6lw","F-01-04-na-01,F-01-04-na-02,F-01-04-na-03,G-02-04-na-01,G-02-04-na-02,G-02-04-na-03,G-02-04-na-04,G-02-04-na-05,G-02-04-na-06,G-02-04-na-07,G-02-04-na-08,G-02-04-na-09,G-02-04-na-10,G-02-04-na-11","体重減少・体重増加の原因と病態生理を説明できる。,体重減少・体重増加をきたす疾患(群)を列挙し、診断の要点を説明できる。,体重減少・体重増加がある患者の治療の要点を説明し、専門的治療が必要な状態を概説できる。,（体重増加）急性：心不全,（体重増加）急性：ネフローゼ症候群,（体重増加）慢性：甲状腺機能低下症,（体重減少）腫瘍：悪性腫瘍全般,（体重減少）内分泌：糖尿病,（体重減少）内分泌：甲状腺機能亢進症,（体重減少）精神：うつ病,（体重減少）感染症：結核,（体重減少）自己免疫：炎症性腸疾患,（体重減少）消化器：慢性膵炎,（体重減少）中毒：アルコール依存症","","","","","技能チームで扱っているが参照用に提示","","","","","","","","","",""
"主要症候","症候","体重増加","JlAK6l0","F-01-04-na-01,F-01-04-na-02,F-01-04-na-03,G-02-04-na-01,G-02-04-na-02,G-02-04-na-03,G-02-04-na-04,G-02-04-na-05,G-02-04-na-06,G-02-04-na-07,G-02-04-na-08,G-02-04-na-09,G-02-04-na-10,G-02-04-na-11","体重減少・体重増加の原因と病態生理を説明できる。,体重減少・体重増加をきたす疾患(群)を列挙し、診断の要点を説明できる。,体重減少・体重増加がある患者の治療の要点を説明し、専門的治療が必要な状態を概説できる。,（体重増加）急性：心不全,（体重増加）急性：ネフローゼ症候群,（体重増加）慢性：甲状腺機能低下症,（体重減少）腫瘍：悪性腫瘍全般,（体重減少）内分泌：糖尿病,（体重減少）内分泌：甲状腺機能亢進症,（体重減少）精神：うつ病,（体重減少）感染症：結核,（体重減少）自己免疫：炎症性腸疾患,（体重減少）消化器：慢性膵炎,（体重減少）中毒：アルコール依存症","","","","","技能チームで扱っているが参照用に提示","","","","","","","","","",""
"主要症候","症候","意識障害","JlAK6l4","F-01-07-na-01,F-01-07-na-02,F-01-07-na-03,G-02-07-na-01,G-02-07-na-02,G-02-07-na-03,G-02-07-na-04,G-02-07-na-05,G-02-07-na-06,G-02-07-na-07,G-02-07-na-08,G-02-07-na-09","意識障害・失神の原因と病態生理を説明できる。,意識障害・失神をきたす疾患(群)を列挙し、診断の要点を説明できる。,意識障害・失神がある患者の治療の要点を説明し、専門的治療が必要な状態を概説できる。,脳原発性：くも膜下出血,脳原発性：頭蓋内血腫,脳原発性：脳炎,全身性：心筋梗塞,全身性：不整脈,全身性：肺塞栓症,全身性：てんかん,全身性：急性消化管出血,全身性：肝不全","","","","","技能チームで扱っているが参照用に提示","","","","","","","","","",""
"主要症候","症候","失神","JlAK6l8","F-01-07-na-01,F-01-07-na-02,F-01-07-na-03,G-02-07-na-01,G-02-07-na-02,G-02-07-na-03,G-02-07-na-04,G-02-07-na-05,G-02-07-na-06,G-02-07-na-07,G-02-07-na-08,G-02-07-na-09","意識障害・失神の原因と病態生理を説明できる。,意識障害・失神をきたす疾患(群)を列挙し、診断の要点を説明できる。,意識障害・失神がある患者の治療の要点を説明し、専門的治療が必要な状態を概説できる。,脳原発性：くも膜下出血,脳原発性：頭蓋内血腫,脳原発性：脳炎,全身性：心筋梗塞,全身性：不整脈,全身性：肺塞栓症,全身性：てんかん,全身性：急性消化管出血,全身性：肝不全","","","","","技能チームで扱っているが参照用に提示","","","","","","","","","",""
"主要症候","症候","けいれん","JlAK6mA","F-01-08-na-01,F-01-08-na-02,F-01-08-na-03,G-02-08-na-01,G-02-08-na-02,G-02-08-na-03,G-02-08-na-04,G-02-08-na-05,G-02-08-na-06","けいれんの原因と病態生理を説明できる。,けいれんをきたす疾患(群)を列挙し、診断の要点を説明できる。,けいれんがある患者の治療の要点を説明し、専門的治療が必要な状態を概説できる。,脳血管障害：脳梗塞,中毒：薬物依存症,中毒：アルコール依存症,感染症：脳炎,感染症：脳症,感染症：熱性けいれん","","","","","技能チームで扱っているが参照用に提示","","","","","","","","","",""
"主要症候","症候","めまい","JlAK6mE","F-01-09-na-01,F-01-09-na-02,F-01-09-na-03,G-02-09-na-01,G-02-09-na-02,G-02-09-na-03,G-02-09-na-04,G-02-09-na-05,G-02-09-na-06,G-02-09-na-07","めまいの原因と病態生理を説明できる。,めまいをきたす疾患(群)を列挙し、診断の要点を説明できる。,めまいがある患者の治療の要点を説明し、専門的治療が必要な状態を概説できる。,末梢性：良性発作性頭位めまい症,中枢性：脳出血,中枢性：脳梗塞,失神性：不整脈,失神性：肺塞栓症,失神性：弁膜症,心因性：パニック障害","","","","","技能チームで扱っているが参照用に提示","","","","","","","","","",""
"主要症候","症候","浮腫","JlAK6mI","F-01-11-na-01,F-01-11-na-02,F-01-11-na-03,G-02-11-na-01,G-02-11-na-02,G-02-11-na-03,G-02-11-na-04,G-02-11-na-05,G-02-11-na-06","浮腫の原因と病態生理を説明できる。,浮腫をきたす疾患(群)を列挙し、診断の要点を説明できる。,浮腫がある患者の治療の要点を説明し、専門的治療が必要な状態を概説できる。,局所性：深部静脈血栓症,全身性：心不全,全身性：ネフローゼ症候群,全身性：慢性腎臓病,全身性：肝硬変,全身性：甲状腺機能低下症","","","","","技能チームで扱っているが参照用に提示","","","","","","","","","",""
"主要症候","症候","発疹","JlAK6mM","F-01-12-na-01,F-01-12-na-02,F-01-12-na-03,G-02-12-na-01,G-02-12-na-02,G-02-12-na-03,G-02-12-na-04,G-02-12-na-05,G-02-12-na-06,G-02-12-na-07","発疹の原因と病態生理を説明できる。,発疹をきたす疾患(群)を列挙し、診断の要点を説明できる。,発疹がある患者の治療の要点を説明し、専門的治療が必要な状態を概説できる。,感染症：ウイルス性発疹症（麻疹）,感染症：ウイルス性発疹症（風疹）,感染症：ウイルス性発疹症（水痘）,感染症：ウイルス性発疹症（ヘルペス）,アレルギー、自己免疫：蕁麻疹,アレルギー、自己免疫：薬疹,アレルギー、自己免疫：全身性エリテマトーデス<SLE>","","","","","技能チームで扱っているが参照用に提示","","","","","","","","","",""
"主要症候","症候","咳・痰","JlAK6mQ","F-01-13-na-01,F-01-13-na-02,F-01-13-na-03,G-02-13-na-01,G-02-13-na-02,G-02-13-na-03,G-02-13-na-04,G-02-13-na-05,G-02-13-na-06,G-02-13-na-07","咳・痰の原因と病態生理を説明できる。,咳・痰をきたす疾患(群)を列挙し、診断の要点を説明できる。,咳・痰がある患者の治療の要点を説明し、専門的治療が必要な状態を概説できる。,感染症：気管支炎,感染症：肺炎,感染症：副鼻腔炎,腫瘍：肺癌,特発性：間質性肺疾患,自己免疫：気管支喘息,消化器：胃食道逆流症<GERD>","","","","","技能チームで扱っているが参照用に提示","","","","","","","","","",""
"主要症候","症候","血痰・喀血","JlAK6mU","F-01-14-na-01,F-01-14-na-02,F-01-14-na-03,G-02-14-na-01,G-02-14-na-02,G-02-14-na-03,G-02-14-na-04,G-02-14-na-05,G-02-14-na-06","血痰・喀血の原因と病態生理を説明できる。,血痰・喀血をきたす疾患(群)を列挙し、診断の要点を説明できる。,血痰・喀血がある患者の治療の要点を説明し、専門的治療が必要な状態を概説できる。,呼吸器：肺結核,呼吸器：肺癌,心血管系：僧帽弁膜症,心血管系：心不全,出血傾向：白血病,出血傾向：播種性血管内凝固<DIC>","","","","","技能チームで扱っているが参照用に提示","","","","","","","","","",""
